"DATE.TIME,""hour"",""day"",""lab"",""analyzer"",""CO2_in"",""CO2_S"",""CO2_N"",""CH4_in"",""CH4_S"",""CH4_N"",""NH3_in"",""NH3_S"",""NH3_N"",""H2O_in"",""H2O_S"",""H2O_N"",""n_animals"",""m_weight"",""p_pregnancy_day"",""Y1_milk_prod"",""Temperature"""
"2025-04-11 12:00:00,12,2025-04-11,""LUFA"",""FTIR.2"",517.975,407.7,427.45,14.1,2.75,4.75,1.625,0.7,1.1,0.8375,0.805,0.805,45.5,545.1818182,119.5510204,31.21864407,13.685"
"2025-04-11 13:00:00,13,2025-04-11,""LUFA"",""FTIR.2"",492.425,407.35,427.2,11.05,2.95,4.75,1.6,0.9,1.1,0.84,0.81,0.81,43.25,545.1818182,119.5510204,31.21864407,16.23666667"
"2025-04-11 14:00:00,14,2025-04-11,""LUFA"",""FTIR.2"",510.575,406.9,430.55,12.35,3.05,5,1.475,0.85,1,0.845,0.82,0.83,47,545.1818182,119.5510204,31.21864407,17.26"
"2025-04-11 15:00:00,15,2025-04-11,""LUFA"",""FTIR.2"",499.475,405.05,426.7,11.55,3,4.85,1.675,0.85,0.95,0.85,0.82,0.825,45.25,545.1818182,119.5510204,31.21864407,16.01916667"
"2025-04-11 16:00:00,16,2025-04-11,""LUFA"",""FTIR.2"",513.225,407.3,413.45,12.925,3.1,3.7,1.85,0.8,1.05,0.87,0.82,0.825,45.25,545.1818182,119.5510204,31.21864407,15.745"
"2025-04-11 17:00:00,17,2025-04-11,""LUFA"",""FTIR.2"",537.775,409.3,410.8,15.15,3.05,3.35,2.125,0.8,0.9,0.885,0.825,0.83,46.75,545.1818182,119.5510204,31.21864407,14.79166667"
"2025-04-11 18:00:00,18,2025-04-11,""LUFA"",""FTIR.2"",621,406.3,433.35,22.6,3.05,5.95,2.775,1,1,0.9225,0.845,0.845,47.5,545.1818182,119.5510204,31.21864407,13.53833333"
"2025-04-11 19:00:00,19,2025-04-11,""LUFA"",""FTIR.2"",634.475,418.7,453.45,23.55,3.3,6.95,2.525,1.05,1.2,0.9375,0.855,0.86,47,545.1818182,119.5510204,31.21864407,13.01083333"
"2025-04-11 20:00:00,20,2025-04-11,""LUFA"",""FTIR.2"",593.45,421.65,467.5,17.825,3.3,7.4,2.05,1,1.3,0.9275,0.865,0.865,45.5,545.1818182,119.5510204,31.21864407,12.75916667"
"2025-04-11 21:00:00,21,2025-04-11,""LUFA"",""FTIR.2"",606.7,431.2,474.35,18.925,3.8,7.55,2.1,0.9,1.3,0.945,0.88,0.885,47.75,545.1818182,119.5510204,31.21864407,12.80833333"
